"age","over_budget","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","condition","grade","sqft_above","lat","long","distance","sqft_living15","sqft_lot15","waterfront","view","basement","renovated","season"
111,"no",640000,4,2,2360,6000,2,4,8,2360,47.6702,-122.362,7.05598789529011,1730,4700,"no","no","no","no","non-summer"
46,"no",240000,4,1,1220,8075,1,2,7,890,47.3341,-122.282,19.9027026412994,1290,7800,"no","no","yes","no","non-summer"
19,"no",605000,4,2.5,2620,7553,2,3,8,2620,47.5301,-122.18,6.63440126596402,2620,11884,"no","no","no","no","summer"
15,"no",625000,4,2.5,2570,5520,2,3,9,2570,47.6145,-122.027,9.46234601911212,2470,5669,"no","no","no","no","summer"
31,"yes",775000,4,2.25,4220,24186,1,3,8,2600,47.445,-122.347,13.266282804872,2410,30617,"no","no","yes","no","summer"
1,"yes",861990,5,2.75,3595,5639,2,3,9,3595,47.6848,-122.016,10.9203658411483,3625,5639,"no","no","no","no","summer"
93,"no",685000,3,1,1570,2280,2,3,7,1570,47.6413,-122.364,6.4106596972366,1580,2640,"no","no","no","no","non-summer"
56,"no",309000,3,1,1280,9656,1,4,6,920,47.4485,-122.175,12.1242163763955,1340,8808,"no","no","yes","no","summer"
12,"no",488000,3,2.5,3160,13603,2,3,8,3160,47.7443,-121.977,14.5693341170551,3050,9232,"no","no","no","no","summer"
49,"no",210490,3,1,990,8528,1,3,6,990,47.3066,-122.371,22.6335916934297,1228,8840,"no","no","no","no","non-summer"
34,"yes",785000,4,2.5,2290,13416,2,4,9,2290,47.6194,-122.151,3.6794819760122,2680,13685,"no","no","no","no","summer"
62,"no",450000,3,1.75,1250,5963,1,4,7,1250,47.6796,-122.301,5.28009833971843,970,5100,"no","no","no","no","non-summer"
62,"yes",1350000,3,2.5,2753,65005,1,5,9,2165,47.4041,-122.451,18.1356605605254,2680,72513,"yes","yes","yes","no","non-summer"
60,"no",228000,3,1,1190,9199,1,3,7,1190,47.4258,-122.322,14.0879808103049,1190,9364,"no","no","no","no","summer"
49,"no",345000,5,2.5,3150,9134,1,4,8,1640,47.4934,-122.189,8.95379146454972,1990,9133,"no","no","yes","no","non-summer"
65,"no",6e+05,3,1.75,1410,4080,1,4,7,1000,47.6808,-122.384,8.30829882195408,1410,4080,"no","no","yes","no","non-summer"
34,"no",585000,2,1.75,1980,8550,1,3,7,990,47.6989,-122.369,8.45949396343772,1480,6738,"no","no","yes","no","non-summer"
88,"yes",920000,5,2.25,2730,6000,1.5,3,8,2130,47.6571,-122.281,3.49407092797608,2730,6000,"no","no","yes","no","non-summer"
20,"yes",885000,4,2.5,2830,5000,2,3,9,2830,47.6597,-122.29,3.91493357381799,1950,5000,"no","no","no","no","summer"
7,"no",292500,4,2.5,2250,4495,2,3,7,2250,47.3663,-122.114,18.3466434783696,2250,4500,"no","no","no","no","summer"
12,"no",301000,3,2.5,2420,4750,2,3,8,2420,47.3663,-122.122,18.2398916820878,2690,4750,"no","no","no","no","non-summer"
47,"yes",951000,5,3.25,3250,14342,2,4,8,3250,47.588,-122.116,5.75274798401397,2960,11044,"no","yes","no","no","summer"
24,"no",430000,4,3,1850,9976,2,3,8,1850,47.5059,-122.149,8.74148447126196,2270,8542,"no","no","no","no","non-summer"
56,"no",650000,3,2.25,2150,21235,1,4,8,1590,47.4336,-122.339,13.8468000239993,2570,18900,"no","yes","yes","no","non-summer"
61,"no",289000,3,1.75,1260,8400,1,3,7,1260,47.4366,-122.335,13.5857630671944,1290,8750,"no","no","no","no","summer"
42,"no",505000,3,1.75,2519,8690,2,5,8,2519,47.4428,-122.344,13.3486472464985,2500,9500,"no","no","no","no","non-summer"
1,"no",549000,3,1.75,1540,1044,3,3,8,1540,47.6765,-122.32,5.72622645532324,1580,3090,"no","no","no","no","non-summer"
36,"no",425000,3,2.25,1660,6000,1,3,7,1110,47.6113,-122.297,3.17798583037078,1440,4080,"no","no","yes","no","summer"
90,"no",317625,3,2.75,2770,3809,1.5,5,7,1770,47.5747,-122.304,4.65664950514939,1440,4000,"no","no","yes","no","non-summer"
26,"yes",975000,4,2.5,2720,11049,2,3,10,2720,47.5815,-122.192,3.19540154511925,2750,11049,"no","no","no","no","summer"
10,"no",287000,4,2.5,2240,4648,2,3,7,2240,47.3378,-122.257,19.5390764504669,2221,4557,"no","no","no","no","non-summer"
47,"no",204000,3,1,1000,12070,1,4,7,1000,47.3621,-122.11,18.6793270985167,1010,12635,"no","no","no","no","summer"
50,"yes",1325000,5,2.25,3200,20158,1,3,8,1600,47.6303,-122.215,0.997196744128424,3390,20158,"no","no","yes","no","summer"
42,"yes",1040000,5,3.25,4770,50094,1,4,11,3070,47.6525,-122.16,3.95777857447112,3530,38917,"no","no","yes","no","summer"
43,"no",325000,3,2,1260,5612,1,4,7,1260,47.7362,-122.179,8.37195212023359,1640,4745,"no","no","no","no","non-summer"
99,"no",571000,4,2,2750,7807,1.5,5,7,2250,47.7168,-122.287,7.19496263328061,1510,7807,"no","no","yes","no","summer"
10,"no",360000,4,2.5,2380,5000,2,3,8,2380,47.3608,-122.036,20.0692693938803,2420,5000,"no","no","no","no","summer"
50,"no",349000,3,1.75,1790,50529,1,5,7,1090,47.3511,-122.073,19.9732914692252,1940,50529,"no","no","yes","no","non-summer"
29,"yes",832500,4,4,3430,35102,2,4,10,2390,47.5822,-121.987,11.6185583213606,3240,35020,"no","no","yes","no","non-summer"
59,"no",380000,4,1.75,1760,7300,1,3,7,880,47.6034,-122.125,5.02357542516984,1680,7500,"no","no","yes","no","non-summer"
74,"no",480000,3,1,1040,5060,1,3,7,1040,47.5636,-122.394,8.57823633456649,890,5060,"no","no","no","no","non-summer"
59,"no",410000,3,1,1410,5060,1,4,7,910,47.7073,-122.34,7.91106919440528,1130,5693,"no","no","yes","no","summer"
13,"yes",720000,4,2.5,3450,39683,2,3,10,3450,47.342,-122.025,21.4613464887692,3350,39750,"no","no","no","no","non-summer"
12,"no",390000,3,2.5,2350,5100,2,3,8,2350,47.3512,-122.008,21.2692996101459,2350,5363,"no","no","no","no","non-summer"
23,"no",360000,4,2.5,1900,5889,2,3,7,1900,47.349,-122.031,20.9032511247595,1870,6405,"no","no","no","no","non-summer"
67,"no",355000,2,1,2020,6720,1,3,7,1010,47.5474,-122.291,5.76581470833498,1720,6720,"no","no","yes","no","non-summer"
51,"no",356000,3,1.5,1680,8712,1,3,8,1680,47.4811,-122.149,10.3137887978774,1850,8797,"no","no","no","no","non-summer"
63,"no",315000,3,1,960,6634,1,3,6,960,47.7264,-122.31,8.24011596816211,1570,7203,"no","no","no","no","summer"
90,"yes",940000,3,1.5,2140,3600,2,3,9,1900,47.6337,-122.365,6.35733003332319,2020,4800,"no","no","yes","no","non-summer"
54,"no",305000,5,2.25,2660,8400,1.5,5,7,2660,47.2909,-122.189,22.8194006242473,1590,8165,"no","no","no","no","non-summer"
9,"no",461000,3,3.25,2770,6278,2,3,9,1980,47.5228,-122.199,6.86965868316676,1900,7349,"no","no","yes","no","summer"
36,"no",215000,2,2.25,1610,2040,2,4,7,1610,47.518,-122.194,7.24466249296853,1950,2025,"no","no","no","no","summer"
9,"no",335000,2,1.75,1030,1066,2,3,7,765,47.5394,-122.387,9.19562812386028,1030,1106,"no","no","yes","no","summer"
27,"no",243500,4,2.5,1980,7403,2,3,7,1980,47.2897,-122.372,23.766470022344,1980,7510,"no","no","no","no","summer"
14,"yes",1099880,5,2.75,3520,6353,2,4,10,3520,47.6506,-122.391,7.78844238151927,2520,6250,"no","no","no","no","non-summer"
53,"no",153000,3,1,1200,10500,1,3,7,1200,47.322,-122.351,21.3515049515407,1350,10500,"no","no","no","no","non-summer"
76,"no",430000,3,1.5,1580,5000,1,3,8,1290,47.687,-122.386,8.61089429124525,1570,4500,"no","no","yes","no","summer"
76,"no",7e+05,3,1.5,1580,5000,1,3,8,1290,47.687,-122.386,8.61089429124525,1570,4500,"no","no","yes","no","non-summer"
69,"yes",905000,4,2.5,3300,10250,1,3,7,2390,47.5873,-122.249,2.42657819783412,1950,6045,"no","no","yes","yes","summer"
48,"no",247500,3,1.75,1960,15681,1,3,7,1960,47.3576,-122.277,18.262605482726,1750,15616,"no","no","no","no","non-summer"
40,"no",199000,4,1.5,1160,6400,1,4,7,1160,47.3036,-122.378,22.9285043811121,1160,6400,"no","no","no","no","summer"
35,"no",314000,3,1.75,1810,41800,1,5,7,1210,47.4109,-121.958,19.2313411386894,1650,135036,"no","no","yes","no","summer"
23,"no",437500,3,2.5,2320,36847,2,3,9,2320,47.4838,-121.714,25.8373684482094,2550,35065,"no","yes","no","no","summer"
105,"yes",850830,3,2.5,2070,13241,1.5,5,9,1270,47.6415,-122.315,4.22745082278363,2200,4500,"no","no","yes","no","summer"
86,"no",555000,3,2,1980,3478,1.5,4,7,1440,47.6775,-122.372,7.71178055875109,1610,3478,"no","no","yes","no","non-summer"
32,"no",699950,3,2.25,2190,107593,2,4,8,2190,47.7731,-122.08,12.6712256867216,2570,47777,"no","no","no","no","non-summer"
65,"yes",1088000,3,2.5,2920,8113,2,3,8,2920,47.5814,-122.196,3.10197873739403,2370,8113,"no","no","no","yes","non-summer"
61,"no",290000,3,1,1210,33919,1,3,7,1210,47.4375,-122.184,12.790990514033,1640,14910,"no","no","no","no","summer"
37,"no",375000,3,2.5,2340,10005,1,4,8,1460,47.4431,-122.133,13.0335178567084,2250,8162,"no","no","yes","no","non-summer"
76,"no",460000,3,1,1670,4005,1.5,4,7,1170,47.6878,-122.38,8.40740201583274,1240,4005,"no","no","yes","no","summer"
30,"no",188500,2,1.75,1240,2493,1,4,8,1240,47.3813,-122.322,17.0426890553392,1270,4966,"no","no","no","no","summer"
24,"no",680000,4,2.5,3140,28037,2,4,10,3140,47.7304,-122.082,10.2759686001904,2990,35001,"no","no","no","no","non-summer"
73,"no",470000,5,1.75,2030,12342,2,4,7,2030,47.6417,-122.109,5.83019149934585,2500,9433,"no","no","no","no","summer"
31,"no",597750,4,2.5,2310,9624,2,3,8,2310,47.5386,-122.053,9.9845153086966,1940,9636,"no","no","no","no","summer"
110,"no",570000,3,1.75,1260,3328,1,5,6,700,47.6823,-122.349,7.01482803814163,1380,3536,"no","no","yes","no","non-summer"
35,"no",272500,3,1.75,1540,12600,1,4,7,1160,47.3624,-122.031,20.0775648369454,1540,11656,"no","no","yes","no","summer"
44,"no",329950,3,1.75,2080,5969,1,3,7,1080,47.5474,-122.295,5.85997537695999,2090,5500,"no","yes","yes","no","non-summer"
14,"no",480000,4,2.5,3230,16171,2,3,9,2520,47.3183,-122.253,20.8733497717386,2640,8517,"no","yes","yes","no","non-summer"
115,"yes",740500,3,3.5,4380,6350,2,3,8,2780,47.6981,-122.368,8.38833428696054,1830,6350,"no","no","yes","yes","non-summer"
5,"no",518500,3,3.5,1590,1102,3,3,8,1590,47.6824,-122.347,6.94584344035958,1620,3166,"no","no","no","no","summer"
70,"no",205425,2,1,880,6780,1,4,6,880,47.5009,-122.248,8.27179251163701,1190,6780,"no","no","no","no","summer"
65,"no",171800,4,2,1570,9600,1,3,6,1570,47.4965,-122.303,9.18694846764887,1880,9000,"no","no","no","no","non-summer"
90,"no",535000,4,1,1610,2982,1.5,4,7,1610,47.587,-122.294,3.75349173763564,1610,4040,"no","no","no","no","summer"
51,"no",660000,3,2.5,2400,6474,1,3,8,1560,47.7728,-122.386,12.8098696527086,2340,10856,"no","yes","yes","no","non-summer"
28,"no",391500,3,2,1450,9132,1,3,7,1450,47.7288,-122.226,7.5197405456215,1580,9104,"no","no","no","no","non-summer"
62,"no",395000,2,1,770,6000,1,3,6,770,47.6999,-122.364,8.32851681628129,1710,6000,"no","no","no","no","non-summer"
91,"no",445000,4,1.75,2100,4400,1.5,5,7,1720,47.5299,-122.266,6.44757265813774,1850,4400,"no","no","yes","no","non-summer"
25,"yes",770000,3,2.25,2910,10204,2,3,9,2910,47.6897,-122.098,7.80606794137547,2700,13992,"no","no","no","no","summer"
101,"yes",1450000,4,2.75,2750,17789,1.5,3,8,1980,47.6141,-122.212,0.932210968721485,3060,11275,"no","no","yes","yes","non-summer"
48,"no",445000,3,2.25,2100,8201,1,3,8,1620,47.5091,-122.244,7.6902840342265,2660,8712,"no","yes","yes","no","summer"
37,"no",260000,4,2.25,2160,8811,1,3,8,1360,47.3129,-122.39,22.4964279510144,2090,8400,"no","no","yes","no","summer"
89,"yes",822500,5,3.5,2320,4960,2,5,7,1720,47.6763,-122.352,6.88336117371076,1700,4960,"no","no","yes","no","summer"
11,"no",430000,4,2.5,2070,4310,2,3,7,2070,47.5319,-121.85,18.7292300232084,1970,3748,"no","no","no","no","non-summer"
29,"no",212000,3,1.75,1060,7875,1,4,7,1060,47.2761,-122.152,24.0393378091657,1420,7680,"no","no","no","no","non-summer"
29,"no",660500,4,2.25,2010,9603,1,3,8,1440,47.5343,-122.054,10.1172860826026,2060,9793,"no","no","yes","no","non-summer"
26,"yes",784000,3,3.5,3950,111078,1.5,3,9,2460,47.697,-122.072,9.07590603820256,2480,88500,"no","no","yes","no","summer"
1,"no",453246,3,2.5,2010,2287,2,3,8,1390,47.5517,-121.998,11.7968919868019,1690,1662,"no","no","yes","no","summer"
10,"no",675000,4,3.5,2140,2278,3,3,9,2140,47.6734,-122.38,7.89720855718412,1540,2285,"no","no","no","no","non-summer"
59,"no",199000,3,1.75,1320,17390,1,4,7,1320,47.3257,-122.296,20.566690374486,1550,19265,"no","no","no","no","summer"
47,"no",220000,4,1.75,2020,7840,1,3,7,1010,47.3309,-122.299,20.2333472365693,1750,8140,"no","no","yes","no","summer"
47,"no",452000,4,2.25,2590,10002,1,4,8,1340,47.7689,-122.266,10.4234461542304,1550,10436,"no","no","yes","no","summer"
34,"no",382500,2,1,1190,4440,1,3,6,1190,47.7135,-122.287,6.98354581380379,1060,5715,"no","no","no","no","summer"
1,"no",519950,3,2.25,1170,1249,3,3,8,1170,47.6722,-122.381,7.9002708268959,1350,1310,"no","no","no","no","summer"
90,"no",665000,2,1,1110,3200,1,3,7,1110,47.6338,-122.358,6.03627610400604,1170,3600,"no","no","no","no","summer"
47,"no",527700,5,2.5,2820,9375,1,4,8,1550,47.5707,-122.128,5.84727861579422,2820,9375,"no","no","yes","no","summer"
53,"no",205000,3,1,1610,8579,1,4,7,1010,47.4563,-122.171,11.6407005462961,1610,8579,"no","no","yes","no","summer"
92,"no",420000,3,1,1060,8097,1,4,7,940,47.7144,-122.351,8.61636229723302,1560,7940,"no","no","yes","no","non-summer"
54,"no",5e+05,4,2.25,2030,8517,1,4,8,1380,47.5495,-122.174,5.52621828048784,2230,8824,"no","no","yes","no","non-summer"
21,"yes",921500,4,2.5,3670,315374,2,4,9,3670,47.7421,-122.026,12.6975064910152,2840,87991,"no","no","no","no","non-summer"
110,"yes",890000,4,1,2550,4000,2,3,8,2370,47.6354,-122.353,5.82557236703718,2200,4000,"no","no","yes","no","summer"
8,"no",430000,2,2.5,2420,60984,2,3,7,2420,47.5262,-121.943,14.8654648412969,1940,193842,"no","no","no","no","summer"
55,"no",258000,5,2,2260,12500,1,4,8,1130,47.3887,-122.286,16.1938020638572,1360,18000,"no","no","yes","no","non-summer"
68,"no",511000,3,1,1430,3455,1,3,7,980,47.6873,-122.336,6.77954825504274,1450,4599,"no","no","yes","no","non-summer"
25,"no",532170,3,2,1360,3090,2,3,8,1360,47.6838,-122.353,7.22543821721212,1500,3090,"no","no","no","no","summer"
68,"no",560000,3,1,1110,5000,1.5,3,7,1110,47.655,-122.359,6.47443105033641,1420,5000,"no","no","no","no","non-summer"
61,"no",282950,3,1,1250,8200,1,4,7,1250,47.3255,-122.304,20.6396200124557,1680,8633,"no","no","no","no","non-summer"
9,"yes",2250000,4,3.25,5180,19850,2,3,12,3540,47.562,-122.162,5.10884363387654,3160,9750,"no","yes","yes","no","non-summer"
73,"no",350000,1,1,700,5100,1,3,7,700,47.679,-122.3,5.21865530885639,1010,5100,"no","no","no","no","summer"
48,"no",215000,3,1,1180,7669,1,4,7,1180,47.4479,-122.176,12.1549868865907,1190,7669,"no","no","no","no","summer"
19,"no",650000,5,3.5,3960,25245,2,3,9,2500,47.525,-122.172,7.09894742152907,2640,13675,"no","no","yes","no","non-summer"
48,"no",320000,4,2.75,2640,7500,1,3,8,1620,47.3135,-122.369,22.1502189941333,1980,7875,"no","no","yes","no","summer"
99,"no",247000,3,2,1270,7198,1.5,3,7,1270,47.2086,-121.996,30.4581079614203,1160,7198,"no","no","no","yes","non-summer"
47,"no",320000,4,1.75,1760,11180,1,4,8,1760,47.4715,-122.118,11.5135758771465,1730,11180,"no","no","no","no","non-summer"
53,"no",255000,5,2.25,2060,8632,1,3,7,1030,47.4877,-122.335,10.369873008082,1010,11680,"no","no","yes","no","summer"
53,"no",438000,3,1.75,1780,9660,1,3,7,1780,47.7171,-122.193,6.92639962934414,1200,9660,"no","no","no","no","non-summer"
15,"yes",9e+05,3,2.5,3400,16603,2,3,10,3400,47.6012,-122.023,9.72934044802352,3400,12601,"no","no","no","no","non-summer"
36,"no",441000,3,2.75,1910,7280,1,3,7,1160,47.7319,-122.224,7.73666635322978,1710,8152,"no","no","yes","no","summer"
40,"no",420000,3,2,2020,38332,1,4,7,1010,47.4582,-122.023,14.7718055733098,2110,36590,"no","no","yes","no","summer"
39,"no",370000,3,1.75,1580,7000,1,3,7,1180,47.7209,-122.168,7.54484272839712,1640,7500,"no","no","yes","no","non-summer"
66,"no",269950,2,1.75,1340,7250,1,5,5,700,47.408,-122.327,15.3314428250081,1830,9750,"no","no","yes","no","non-summer"
16,"yes",807100,4,2.5,2680,4499,2,3,9,2680,47.565,-122.125,6.19513333152441,2920,4500,"no","no","no","no","non-summer"
36,"no",653000,3,2.5,2680,9750,1,4,8,1610,47.7028,-122.231,5.72118028001269,2480,8750,"no","no","yes","no","summer"
51,"no",371500,3,2,1370,8336,1,5,7,1370,47.7458,-122.331,9.8804947344154,1770,7288,"no","no","no","no","summer"
61,"no",284000,3,1.75,1560,21000,1,3,7,1560,47.4776,-122.337,11.0320596298323,1070,7920,"no","no","no","no","non-summer"
37,"no",272000,3,1.75,2160,7140,1,4,7,1670,47.3026,-122.374,22.9389239957558,1930,7350,"no","no","yes","no","non-summer"
60,"no",313000,3,1.5,1340,7912,1.5,3,7,1340,47.7658,-122.339,11.277489963187,1480,7940,"no","no","no","no","summer"
31,"yes",917500,4,2.5,3880,35003,2,3,10,2570,47.6477,-122.182,2.94240722034176,3740,35230,"no","no","yes","no","non-summer"
35,"no",673000,4,2.25,2590,8190,2,4,8,2590,47.5619,-122.125,6.32889437870235,2260,8335,"no","no","no","no","summer"
7,"no",425000,3,2.5,1120,1100,2,3,8,820,47.6106,-122.31,3.78231543164619,1590,1795,"no","no","yes","no","non-summer"
29,"no",399950,5,2.75,1970,5400,1,3,7,1320,47.5868,-122.308,4.29728361409188,1280,2150,"no","no","yes","no","summer"
114,"no",385000,3,1,1220,4800,1,3,6,1220,47.6101,-122.307,3.65107116029731,1200,4800,"no","no","no","no","summer"
40,"no",269950,3,1.5,1950,7560,1,4,7,1320,47.1976,-121.999,31.12004493526,1950,8941,"no","yes","yes","no","non-summer"
66,"no",330000,2,1,1350,8220,1,3,7,1060,47.7224,-122.358,9.24803565836359,1540,8280,"no","no","yes","no","non-summer"
27,"no",260000,3,2.5,1670,5797,2,3,7,1670,47.3505,-122.179,18.7725057368321,1670,6183,"no","no","no","no","summer"
90,"no",470000,4,3,2380,5125,1.5,4,7,1680,47.5384,-122.376,8.83710342326268,1410,5375,"no","no","yes","no","non-summer"
54,"no",589000,4,3,2440,9600,2,5,7,2440,47.7044,-122.2,5.99631739096768,2290,9600,"no","no","no","no","summer"
19,"no",163500,2,1.5,1050,3419,2,3,7,1050,47.3848,-122.039,18.5357883853255,1050,3417,"no","no","no","no","summer"
22,"yes",835000,4,2.75,3130,13412,2,3,9,2140,47.6993,-122.102,8.09346272709275,2260,9984,"no","no","yes","no","summer"
29,"yes",1095000,5,3,4090,12850,1,4,10,2090,47.6627,-122.188,3.5394013034952,2540,10270,"no","yes","yes","no","non-summer"
46,"no",269000,4,1.75,1490,10000,1,4,8,1100,47.3099,-122.379,22.528113516494,2190,8910,"no","no","yes","no","non-summer"
28,"no",560000,3,2.5,1900,8744,2,3,8,1900,47.62,-122.043,8.70905532524557,2030,8744,"no","no","no","no","summer"
114,"no",615000,4,1,1330,2400,1.5,4,6,1330,47.65,-122.34,5.52507017410749,1330,4400,"no","no","no","no","non-summer"
40,"no",585188,3,2.25,2230,10026,1,3,8,1430,47.6647,-122.153,4.73158093803882,2230,9340,"no","no","yes","no","non-summer"
38,"no",305000,3,1.75,1650,9480,1,3,7,1220,47.726,-122.191,7.54539251697641,1540,8400,"no","no","yes","no","summer"
56,"no",166950,3,1,1190,8820,1,3,6,1190,47.4616,-122.184,11.1528324963861,1230,7980,"no","no","no","no","non-summer"
56,"yes",799000,3,2.5,2140,9897,1,4,8,2140,47.5505,-122.219,4.82932515380815,2680,10083,"no","no","no","no","summer"
53,"no",4e+05,3,2.5,2180,7508,1,4,7,1420,47.7606,-122.336,10.8940027218363,1900,7818,"no","no","yes","no","summer"
67,"no",230000,3,1,1060,10228,1,3,7,1060,47.7481,-122.3,9.43087521534459,1570,10228,"no","no","no","no","non-summer"
12,"no",256883,3,2.5,1690,5025,2,3,8,1690,47.2779,-122.347,24.2610252099424,2550,5001,"no","no","no","no","summer"
95,"no",423000,4,2,1970,6480,1.5,5,7,1130,47.5511,-122.312,6.10464609882858,1500,6480,"no","no","yes","no","non-summer"
8,"no",465000,3,2.5,2150,4084,2,3,8,2150,47.5488,-122.372,8.24600949763594,1750,2385,"no","no","no","no","summer"
18,"no",440000,3,2.5,1910,66211,2,3,7,1910,47.5385,-121.911,15.8988380158941,2330,67268,"no","no","no","no","non-summer"
46,"no",385000,3,1.75,1350,155073,1,4,7,1350,47.4058,-121.994,18.448237083996,1560,50965,"no","no","no","no","non-summer"
72,"no",210000,3,1,860,11725,1,4,6,860,47.5093,-122.184,7.94368753091181,1300,9514,"no","no","no","no","non-summer"
21,"no",297000,3,2.5,1940,14952,2,3,8,1940,47.3777,-122.165,17.0142358768286,2030,10450,"no","no","no","no","non-summer"
63,"no",470000,3,1,1010,5000,1,3,7,1010,47.675,-122.394,8.52744299072489,1680,5000,"no","no","no","no","summer"
39,"no",226500,3,1.5,1300,7370,1,4,7,900,47.3025,-122.37,22.8914504214957,1430,7500,"no","no","yes","no","summer"
53,"no",274250,3,1,910,8450,1,4,6,910,47.4787,-122.158,10.3242690611396,1400,8040,"no","no","no","no","non-summer"
